Date,T_mean
23-10-2024,25.4
24-10-2024,25.4
25-10-2024,25.4
26-10-2024,25.4
27-10-2024,25.4
28-10-2024,25.4
29-10-2024,25.4
30-10-2024,25.4
31-10-2024,25.4
01-11-2024,20.5
02-11-2024,20.5
03-11-2024,20.5
04-11-2024,20.5
05-11-2024,20.5
06-11-2024,20.5
07-11-2024,20.5
08-11-2024,20.5
09-11-2024,20.5
10-11-2024,20.5
11-11-2024,20.5
12-11-2024,20.5
13-11-2024,20.5
14-11-2024,20.5
15-11-2024,20.5
16-11-2024,20.5
17-11-2024,20.5
18-11-2024,20.5
19-11-2024,20.5
20-11-2024,20.5
21-11-2024,20.5
22-11-2024,20.5
23-11-2024,20.5
24-11-2024,20.5
25-11-2024,20.5
26-11-2024,20.5
27-11-2024,20.5
28-11-2024,20.5
29-11-2024,20.5
30-11-2024,20.5
01-12-2024,15.4
02-12-2024,15.4
03-12-2024,15.4
04-12-2024,15.4
05-12-2024,15.4
06-12-2024,15.4
07-12-2024,15.4
08-12-2024,15.4
09-12-2024,15.4
10-12-2024,15.4
11-12-2024,15.4
12-12-2024,15.4
13-12-2024,15.4
14-12-2024,15.4
15-12-2024,15.4
16-12-2024,15.4
17-12-2024,15.4
18-12-2024,15.4
19-12-2024,15.4
20-12-2024,15.4
21-12-2024,15.4
22-12-2024,15.4
23-12-2024,15.4
24-12-2024,15.4
25-12-2024,15.4
26-12-2024,15.4
27-12-2024,15.4
28-12-2024,15.4
29-12-2024,15.4
30-12-2024,15.4
31-12-2024,15.4
